observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positional_accuracy,geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_state_name,species_guess,common_name,taxon_family_name,taxon_genus_name,scientific_name,iconic_taxon_name,taxon_id,id
20100822,49.07427597,1.532936096,,UTC,,160,tiggrx,2010-08-26 05:58:05 UTC,2016-07-07 11:07:58 UTC,research,,http://www.inaturalist.org/observations/8102,https://static.inaturalist.org/photos/18022/medium.jpg?1444293492,,,FALSE,1,0,FALSE,,"Giverny, Eure, France",,,FALSE,,,,,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,8102
20101009,39.43606186,-120.2656174,,Pacific Time (US & Canada),TRUE,32,ap2il,2010-11-19 07:02:28 UTC,2016-04-05 12:07:56 UTC,research,,http://www.inaturalist.org/observations/8989,https://static.inaturalist.org/photos/19303/medium.jpg?1444500203,,,FALSE,1,0,FALSE,,Sagehen Field Reserve,,,FALSE,,,,California,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,8989
20110210,38.564342,-122.690286,,Pacific Time (US & Canada),FALSE,535,moke,2011-02-12 03:37:44 UTC,2017-04-05 22:26:08 UTC,research,,http://www.inaturalist.org/observations/11230,https://static.inaturalist.org/photos/22961/medium.JPG,,,TRUE,3,0,FALSE,,Pepperwood Preserve,,,FALSE,,,,California,rainbow trout (Oncorhynchus mykiss),Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,11230
20110617,39.95210566,-76.47792757,,Eastern Time (US & Canada),TRUE,1175,wabbytwax,2011-06-18 02:54:41 UTC,2017-11-09 18:23:32 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/21987,https://static.inaturalist.org/photos/39194/medium.jpg?1444334393,rainbow trout Oncorhynchus mykiss,Just caught this nice sized Trout today while fishing with the kids. Released it afterwards.,FALSE,1,0,FALSE,,"Longlevel, PA",,,FALSE,,,,Pennsylvania,Rainbow Trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,21987
20110813,38.04714479,-119.281311,,Pacific Time (US & Canada),FALSE,311,antonyw,2011-08-16 05:42:16 UTC,2017-04-05 22:26:32 UTC,research,,http://www.inaturalist.org/observations/28176,https://static.inaturalist.org/photos/50149/medium.jpg?1444360854,,,FALSE,1,0,FALSE,,Hoover Wilderness,,,FALSE,,,,California,rainbow trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,28176
20110812,38.04755034,-119.2808819,,Pacific Time (US & Canada),TRUE,311,antonyw,2011-08-16 05:43:40 UTC,2017-05-04 15:15:05 UTC,research,,http://www.inaturalist.org/observations/28177,https://static.inaturalist.org/photos/50150/medium.jpg?1444360861,,,FALSE,3,1,FALSE,,Hoover Wilderness,,,FALSE,,,,California,Brook Trout,Brook Trout,Salmonidae,Salvelinus,Salvelinus fontinalis,Actinopterygii,49596,28177
20110909,36.68046589,-118.7633228,,Pacific Time (US & Canada),,933,chriswbrown,2011-09-12 22:03:03 UTC,2017-06-22 02:10:04 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/30911,https://static.inaturalist.org/photos/53572/medium.JPG,,,FALSE,1,0,FALSE,,"Jennie Lake, Sequoia National Forest, CA, US",,,FALSE,,,,California,rainbow trout,Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,30911
20090803,47.8626013,-121.8165095,,Eastern Time (US & Canada),FALSE,3340,brianslaby,2011-10-19 19:58:08 UTC,2017-04-05 22:26:47 UTC,research,,http://www.inaturalist.org/observations/36116,https://static.inaturalist.org/photos/61032/medium.JPG,,,FALSE,1,0,FALSE,,"Sultan, WA",,,FALSE,,,,Washington,Coho salmon,Coho Salmon,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Actinopterygii,53692,36116
20111008,49.333028,-124.926095,,Hawaii,,3403,davidr,2011-11-21 01:35:08 UTC,2014-10-20 04:00:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/39659,https://static.inaturalist.org/photos/65971/medium.jpg,steelhead,observed at waterfalls near the fish ladder,FALSE,1,0,FALSE,,Stamp River BC,,,FALSE,,,,,rainbow trout (Oncorhynchus mykiss),Rainbow Trout,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Actinopterygii,47516,39659
20091101,37.3635404,-118.3951101,,Pacific Time (US & Canada),,4315,themoose,2012-01-08 23:38:24 UTC,2016-04-05 12:08:20 UTC,research,,http://www.inaturalist.org/observations/46439,https://static.inaturalist.org/photos/74649/medium.JPG,,,FALSE,1,0,FALSE,,"bishop, ca",,,FALSE,,,,California,Brown Trout,Brown Trout,Salmonidae,Salmo,Salmo trutta,Actinopterygii,47518,46439
