date,latitude,longitude,time,uv_index,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,percipitation_mm,visualbility_km,moon_phase,dayofyear,species,angler
20060610,44.60690713,-110.383544,,,,,,,,,,,,,,
20120407,47.40343475,-121.8989105,2012-04-07 22:51:42 UTC,0,11,58,58,90,12,1023,0,10,0.979430464,98,Oncorhynchus clarkii,harvestman
20120428,39.17080572,-123.0098361,2012-04-28 21:00:38 UTC,0,17,66,79,320,17,1019,0,10,0.444663135,119,Oncorhynchus mykiss,williamshailey6
20080316,-53.85474539,-68.25137619,,,,,,,,,,,,,,
20121218,-45.11162517,167.9542947,2012-12-18 06:15:41 UTC,0,60,65,84,177,4,1007,9.8,7,0.301520321,353,Salmo trutta,mccain
20121219,-45.1031443,167.9620194,2012-12-19 07:33:52 UTC,0,26,68,67,286,10,1010,0.2,9,0.409295706,354,Salmo trutta,mccain
20121224,-45.50489566,168.1286579,2012-12-24 07:21:00 UTC,0,29,77,73,273,3,1020,0,6,0.856920596,359,Salmo trutta,mccain
20121224,-45.890949,168.2763588,2012-12-24 07:12:54 UTC,0,19,70,83,114,6,1020,0,8,0.856550774,359,Salmo trutta,mccain
20121224,-45.890949,168.2763588,2012-12-24 07:12:03 UTC,0,19,70,83,114,6,1020,0,8,0.856511942,359,Salmo trutta,mccain
20121219,-45.09490454,167.9687142,2012-12-18 14:29:52 UTC,0,26,68,67,286,10,1010,0.2,9,0.336223716,353,Salmo trutta,mccain
20121221,-45.10411361,167.9597878,2012-12-21 10:03:41 UTC,0,45,64,78,281,10,1007,4.6,9,0.62069032,356,Salmo trutta,mccain
20120923,-53.96054833,-70.06027333,2012-09-22 16:53:33 UTC,0,12,38,71,220,37,1014,0,10,0.488795808,266,Salmo trutta,mccain
20130303,38.61316667,-122.7828333,2013-03-03 19:39:41 UTC,0,27,60,78,240,7,1019,0,9,0.625068773,62,Oncorhynchus mykiss,loarie
20130330,38.043891,-122.749561,2013-03-30 20:20:56 UTC,0,49,64,86,200,10,1019,0,9,0.850746727,89,Oncorhynchus mykiss,chrispincetich
20130511,43.10166667,-72.76633333,2013-05-11 13:21:04 UTC,0,86,64,90,187,14,1006,15.8,7,0.021888626,131,Salvelinus fontinalis,mspickvt
20130515,30.275487,-97.813674,2013-05-15 16:09:43 UTC,0,65,78,85,173,23,1016,5.8,9,0.265109251,135,Salmo trutta,chriscanter
20121209,38.61866667,-121.3068333,2012-12-09 22:36:45 UTC,0,2,64,68,341,10,1020,0,10,0.164336642,344,Oncorhynchus tshawytscha,snakeinmypocket
20130521,44.83016667,-111.5136667,2013-05-21 19:15:51 UTC,0,13,60,64,184,12,1014,0,10,0.847885597,141,Salmo trutta,fishmav
20130519,38.00266667,-111.4701667,2013-05-19 17:50:28 UTC,0,17,45,61,235,11,1016,3.4,10,0.656856859,139,Oncorhynchus clarkii,johndavis
20130605,32.79333333,-116.902,2013-06-05 20:21:24 UTC,0,0,66,64,267,9,1014,0,10,0.071834461,156,Oncorhynchus mykiss,snakeinmypocket
20130614,44.563039,-84.485507,2013-06-15 01:22:16 UTC,0,4,70,61,340,9,1018,0,10,0.334358036,166,Salvelinus fontinalis,jwhittle
20130623,40.9195,-121.5525,2013-06-23 18:19:40 UTC,0,46,71,56,245,13,1008,0.1,10,0.997533413,174,Oncorhynchus mykiss,chriswbrown
