date,latitude,longitude,time,uv_index,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,dewpoint_f,head_index_f,percipitation_mm,visualbility_km,moon_phase,dayofyear,species,angler,angler_id,harvest_id
20170925,35.2157524,-97.2247982
20170809,40.64364287,-98.86717393,2017-08-09 21:16:41 UTC,0,27,81,73,207,14,1017,61,72,13.6,9,0.9525779977428463,221,Lepomis macrochirus,nathanwhalen,640958,8098317
20170809,40.64373798,-98.86727861,2017-08-09 13:28:10 UTC,0,27,81,73,207,14,1017,61,72,13.6,9,0.9659437454209786,221,Pomoxis annularis,nathanwhalen,640958,8098411
20170926,44.97462894,-85.64684141,2017-09-26 12:40:31 UTC,0,29,74,79,221,15,1012,63,72,0.0,10,0.35420560104679777,269,Ambloplites rupestris,frsimkins,224831,8102260
20170803,42.93022835,-85.68693188,2017-08-03 19:56:22 UTC,0,45,80,83,164,11,1014,65,73,12.4,8,0.8600235644312861,215,Lepomis gibbosus,nathanwhalen,640958,8121300
20170927,41.20327942,-81.35165826,2017-09-27 16:17:24 UTC,0,21,81,74,304,8,1013,64,74,0.0,10,0.46085482257331284,270,Lepomis microlophus,rford1213,239858,8138503
20170920,31.62233667,-94.64562167,2017-09-20 20:23:56 UTC,0,51,89,79,184,10,1013,73,86,0.0,8,0.005322207270373691,263,Lepomis megalotis,jaycenguerrero,609363,8147444
20170927,28.51413,-81.18003833
20170928,37.97143947,-87.5042206,2017-09-28 20:40:00 UTC,0,0,72,63,17,13,1019,49,63,0.0,10,0.5723335038692204,271,Micropterus salmoides,isaacsfishingcorner,379756,8159805
20170928,37.97127545,-87.50418842,2017-09-28 22:09:00 UTC,0,0,72,63,17,13,1019,49,63,0.0,10,0.5781349794392571,271,Lepomis macrochirus,isaacsfishingcorner,379756,8159806
20170928,38.95464377,-79.50057532,2017-09-28 16:27:00 UTC,0,29,62,77,314,11,1015,51,59,0.0,7,0.5558094667853498,271,Micropterus dolomieu,randybodkins,492790,8161578
20170923,41.156559,-81.309034,2017-09-23 17:28:44 UTC,0,25,86,71,51,5,1019,61,74,0.0,10,0.12825170715769202,266,Lepomis macrochirus,rcurtis,4860,8163090
20170929,29.04179114,-82.56937875
20170920,31.62289994,-94.64194037,2017-09-20 20:23:59 UTC,0,51,89,79,184,10,1013,73,86,0.0,8,0.005322712142770025,263,Lepomis megalotis,jessmattox,395776,8172207
20170929,42.86052213,-89.53534623,2017-09-29 19:13:37 UTC,0,17,60,79,122,13,1024,46,53,0.0,10,0.6595159620268671,272,Micropterus dolomieu,dwalc400,492264,8178229
20170929,42.86050282,-89.53546574
20170929,42.86055221,-89.53538687
20170929,42.86050635,-89.53534705,2017-09-29 20:18:16 UTC,0,17,60,79,122,13,1024,46,53,0.0,10,0.6636043639190229,272,Lepomis macrochirus,dwalc400,492264,8178367
20170929,42.8605341,-89.53534431,2017-09-29 20:30:43 UTC,0,17,60,79,122,13,1024,46,53,0.0,10,0.6643906769270137,272,Ambloplites rupestris,dwalc400,492264,8178483
20170929,42.86052302,-89.53541612,2017-09-29 20:35:40 UTC,0,17,60,79,122,13,1024,46,53,0.0,10,0.6647032153440684,272,Lepomis gibbosus,dwalc400,492264,8178507
20170920,39.96275833,-85.94796111,2017-09-20 23:25:00 UTC,0,51,83,86,201,9,1015,69,76,0.0,8,0.007325390294667555,263,Micropterus salmoides,njbanker,613309,8178699
20170903,33.40256333,-97.007225,2017-09-03 13:16:54 UTC,0,11,98,64,195,13,1016,67,86,0.0,10,0.9227489333526298,246,Micropterus salmoides,txfishes,91209,8178853
20130316,32.54001191,-97.05682755,2013-03-16 13:28:00 UTC,0,9,85,66,187,28,1009,48,66,0.0,10,0.21814984874862497,75,Pomoxis annularis,txfishes,91209,8179922
20151004,33.063577,-96.966551,2015-10-04 12:50:00 UTC,0,22,82,61,142,12,1016,51,67,0.0,10,0.5363473168740089,277,Lepomis cyanellus,txfishes,91209,8179939
20141012,33.065183,-96.964495,2014-10-12 14:08:00 UTC,0,13,80,69,192,13,1011,56,69,1.7,10,0.800213108076637,285,Lepomis humilis,txfishes,91209,8179950
20140916,32.8117,-96.80098611,2014-09-16 15:22:00 UTC,0,28,94,75,76,5,1017,72,88,4.5,10,0.44558969033336715,259,Lepomis macrochirus,txfishes,91209,8182612
20140916,32.8117,-96.800775,2014-09-16 15:12:00 UTC,0,28,94,75,76,5,1017,72,88,4.5,10,0.44626766723346356,259,Lepomis megalotis,txfishes,91209,8182613
20170915,32.95181617,-96.4702879,2017-09-15 16:21:00 UTC,0,5,91,66,161,21,1011,65,81,0.0,10,0.23725225053354865,258,Lepomis macrochirus,tadamcochran,13118,8184669
