binomial_nomenclature,common_name,UTC,date,year,month,day,dayofyear,latitude,longitude,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,dewpoint_f,head_index_f,percipitation_mm,visualbility_km,moon_phase,angler,angler_id,harvest_id
Acantharchus pomotis,Mud Sunfish,2016-10-30 18:13:00 UTC,20161030,2016,10,30,304,38.11396649,-77.2618111,40,81,64,219,11,1015,56,70,0,10,0.001377138,pmk00001,204678,5540659
Acantharchus pomotis,Mud Sunfish,2015-09-27 20:25:00 UTC,20150927,2015,09,27,270,38.05962544,-77.20342011,90,80,80,80,16,1024,65,74,0.2,10,0.998815287,pmk00001,204678,6098682
Acantharchus pomotis,Mud Sunfish,2017-05-21 15:22:00 UTC,20170521,2017,05,21,141,38.07282673,-77.37177725,86,68,77,109,9,1024,56,63,0.2,10,0.234519732,pmk00001,204678,6520177
Acantharchus pomotis,Mud Sunfish,2017-07-22 17:19:00 UTC,20170722,2017,07,22,203,40.19304513,-74.27373037,35,94,70,122,10,1011,72,92,25.6,9,0.007513871,pmk00001,204678,7517746
Acantharchus pomotis,Mud Sunfish,2016-04-22 22:05:14 UTC,20160422,2016,04,22,113,30.723598,-82.488785,52,85,75,217,12,1017,62,73,5.1,9,0.994535982,levfrid,187197,8751263
Acantharchus pomotis,Mud Sunfish,2014-08-02 15:59:00 UTC,20140802,2014,08,02,214,40.10748297,-74.3229594,68,76,88,62,14,1020,67,73,12.8,9,0.363269196,pmk00001,204678,8928051
Ambloplites ariommus,Shadow Bass,2017-07-22 20:35:12 UTC,20170722,2017,07,22,203,33.16138883,-85.584045,16,96,74,200,6,1015,74,94,1.1,10,0.004983625,daniel_folds,269252,7172361
Ambloplites constellatus,Ozark Bass,2016-08-25 21:55:07 UTC,20160825,2016,08,25,238,36.01976117,-93.35447,27,85,67,221,12,1017,68,81,0,10,0.414858317,justinoid,275592,3972905
Ambloplites constellatus,Ozark Bass,2016-04-17 14:04:00 UTC,20160417,2016,04,17,108,36.04706681,-93.320961,73,76,79,134,22,1021,59,68,0.2,10,0.818235166,mfria631,318214,4008235
Ambloplites constellatus,Ozark Bass,2016-05-18 20:07:00 UTC,20160518,2016,05,18,139,36.2995528,-93.64630222,63,68,75,50,12,1021,49,58,0.1,10,0.917195984,mfria631,318214,4009143
Ambloplites constellatus,Ozark Bass,2017-01-12 09:14:00 UTC,20170112,2017,01,12,12,36.22641167,-92.71066189,100,65,83,326,14,1019,48,53,6.2,7,0.998993124,flabellare223,359145,5068269
Ambloplites constellatus,Ozark Bass,2017-10-07 23:06:00 UTC,20171007,2017,10,07,280,36.85150146,-92.18695831,47,73,77,228,10,1008,60,69,0,10,0.936179682,quiggifur,505122,8308417
Ambloplites rupestris,Rock Bass,2016-04-25 21:54:23 UTC,20160425,2016,04,25,116,42.29915301,-85.78743417,72,79,71,207,19,1007,55,68,1.2,10,0.878848154,shannonsouth,209218,3034336
Ambloplites rupestris,Rock Bass,2016-06-15 14:10:22 UTC,20160615,2016,06,15,167,35.902979,-82.330332,83,79,87,247,4,1014,68,74,16.9,9,0.791123873,allenratzlaff,28545,3463872
Ambloplites rupestris,Rock Bass,2016-06-22 21:06:00 UTC,20160622,2016,06,22,174,44.399674,-83.973103,29,80,67,264,10,1012,53,68,0.4,9,0.937685216,jokurtz,267179,3585098
Ambloplites rupestris,Rock Bass,2016-06-23 05:05:00 UTC,20160622,2016,06,23,175,44.39895774,-83.97434235,29,80,67,264,10,1012,53,68,0.4,9,0.919988927,jokurtz,267179,3614261
Ambloplites rupestris,Rock Bass,2010-09-05 06:48:00 UTC,20100904,2010,09,05,248,44.3996743,-83.9731033,76,55,87,288,21,1006,47,51,4.1,8,0.143784632,jokurtz,267179,3636166
Ambloplites rupestris,Rock Bass,2011-08-02 11:50:00 UTC,20110802,2011,08,02,214,44.3996743,-83.9731033,40,76,68,172,14,1007,61,75,5.2,10,0.100845943,jokurtz,267179,3636167
Ambloplites rupestris,Rock Bass,2011-08-28 18:02:00 UTC,20110828,2011,08,28,240,44.3996743,-83.9731033,7,74,57,26,16,1013,47,64,0,10,0.003795202,jokurtz,267179,3636168
Ambloplites rupestris,Rock Bass,2012-06-09 13:54:00 UTC,20120609,2012,06,09,161,44.4302275,-83.9281092,16,87,62,250,21,1011,58,73,0,10,0.687423088,jokurtz,267179,3636169
Ambloplites rupestris,Rock Bass,2011-08-06 17:40:00 UTC,20110806,2011,08,06,218,44.4302275,-83.9281092,37,82,73,232,4,1011,65,77,5.6,9,0.532942581,jokurtz,267179,3636170
Ambloplites rupestris,Rock Bass,2012-06-10 03:44:00 UTC,20120609,2012,06,10,162,44.4302275,-83.9281092,16,87,62,250,21,1011,58,73,0,10,0.630071409,jokurtz,267179,3636171
Ambloplites rupestris,Rock Bass,2013-05-25 15:00:00 UTC,20130525,2013,05,25,145,44.3996743,-83.9731033,16,64,56,227,6,1029,31,51,0,10,0.996612903,jokurtz,267179,3636172
Ambloplites rupestris,Rock Bass,2013-07-06 15:00:00 UTC,20130706,2013,07,06,187,44.4302275,-83.9281092,11,84,75,227,10,1016,59,76,0,10,0.026142339,jokurtz,267179,3636173
Ambloplites rupestris,Rock Bass,2013-07-05 19:14:00 UTC,20130705,2013,07,05,186,44.3996743,-83.9731033,43,82,80,213,8,1019,59,73,3,10,0.056189132,jokurtz,267179,3636174
Ambloplites rupestris,Rock Bass,2013-07-06 14:55:00 UTC,20130706,2013,07,06,187,44.3996743,-83.9731033,11,84,75,227,10,1016,59,76,0,10,0.026245032,jokurtz,267179,3636175
Ambloplites rupestris,Rock Bass,2013-07-22 18:34:00 UTC,20130722,2013,07,22,203,44.4302275,-83.9281092,29,80,82,188,13,1012,61,69,3.2,9,0.998215362,jokurtz,267179,3636176
Ambloplites rupestris,Rock Bass,2016-07-16 17:14:00 UTC,20160716,2016,07,16,198,41.58785767,-81.56450629,22,78,71,234,10,1017,61,74,1.7,10,0.891602576,tortuga_rapido,10162,3688153
