dayofyear,angler,harvest_size,month,cloud_cover,temp_f,humidity,wind_direction_degrees,wind_speed_kmph,pressure_mb,dewpoint_f,head_index_f,percipitation_mm,visualbility_km,moon_phase,angler_id,harvest_id
1,cuihenggang,1,01,53,36,56,154,7,1026,14,28,0,10,0.002590233,474164,6102005
1,evanator4000,1,01,69,73,85,219,6,1010,58,63,0.2,7,0.125418555,269451,5163729
1,teeland007,1,01,24,31,91,196,10,1021,26,27,0,7,0.116139572,393615,4984995
2,bigcattrek,1,01,87,49,82,230,11,1017,40,46,3,10,0.202139799,449458,5843675
2,carrion,1,01,58,58,75,70,6,1021,43,51,0,10,0.991827484,40229,9356537
2,mazer,1,01,69,47,56,87,15,1018,25,40,0,10,0.487764662,78845,5062153
3,pmk00001,1,01,0,46,63,271,12,1014,28,41,0,10,0.353950641,204678,5526117
3,sagamoreoh,1,01,100,47,98,150,13,1006,41,41,23.2,6,0.271338349,7474,4890018
4,nicklambert,1,01,70,74,83,105,4,1013,57,65,8.1,6,0.332329458,661392,8871590
5,mrbryanames,1,01,14,76,74,268,14,1013,57,68,0,10,0.515385374,607566,7741494
6,carrion,1,01,27,54,92,293,5,1023,47,49,1.6,10,0.716348302,40229,9387859
6,kimssight,1,01,28,70,83,214,4,1020,56,62,0,10,0.726888498,80984,9389131
7,greenbergster,1,01,45,56,80,202,3,1019,44,50,0.3,9,0.628137555,380083,9478851
9,danieleseglie,1,01,56,46,92,105,4,1006,35,37,0.5,5,0.003839902,72232,2566904
10,zoltshmack,1,01,100,43,96,135,13,1001,38,39,28.5,8,0.96212471,297709,4935227
11,flabellare223,1,01,78,66,76,180,17,1011,49,56,0.2,9,0.979810225,359145,5068265
12,flabellare223,1,01,100,65,83,326,14,1019,48,53,6.2,7,0.998993124,359145,5068269
12,zoltshmack,1,01,14,39,84,75,13,1020,31,36,0,10,0.996308191,297709,4935389
13,carrion,1,01,17,54,90,56,9,1022,45,48,0,10,0.094964267,40229,9471898
13,greenbergster,1,01,13,65,63,73,6,1021,42,55,0,10,0.099908025,380083,9478845
13,nv_multispeciesfishing,2,01,15,76,84,252,5,1030,56,62,0,8,0.979939499,535133,7086755.5
14,craig40,1,01,38,57,76,201,5,1023,37,45,0,9,0.923597425,436389,5518272
14,gordon_dietzman,1,01,39,17,89,242,8,1036,2,5,0,10,0.932630909,265027,8717678
14,rebeccafay,1,01,32,54,90,75,8,1020,46,49,0,10,0.042596349,819,9475044
15,c_bird,1,01,65,54,97,140,4,1019,49,49,0.6,10,0.011929108,747684,9490028
15,greenamigo87,1,01,88,74,84,128,12,1022,60,66,1.9,9,0.862627635,140834,4950393
15,marisvv,1,01,20,34,71,322,10,1026,23,30,0,10,0.903770976,251854,6717402
15,tallastro,1,01,67,56,73,37,9,1027,42,50,0.1,10,0.870820327,256327,4963363
18,carrion,1,01,32,54,96,134,4,1023,50,51,0,10,0.008537708,40229,9533644
18,pmk00001,1,01,20,70,74,307,22,1020,53,62,0,10,0.055366184,204678,6109299
19,dinobiancolini,1,01,74,45,94,227,9,1013,37,39,1.8,5,0.050309417,214518,9527093
19,pmk00001,1,01,26,76,62,41,18,1021,53,68,0,10,0.008618626,204678,6109297
20,bioman302,1,01,12,34,78,327,7,1020,25,30,0,10,0.124266028,752561,9601031
20,cpavlisich,1,01,38,36,80,258,7,1009,25,30,0,10,0.128896074,548171,9867161
20,pmk00001,1,01,50,78,59,155,12,1018,58,76,0,10,0.001748316,204678,6109294
21,carrion,1,01,7,47,79,317,12,1022,37,44,0,10,0.145647416,40229,9544939
21,djuth,1,01,89,57,93,142,5,1010,46,48,0.2,4,0.330275296,157587,5004410
21,gofthejungle,1,01,58,80,80,181,17,1013,64,73,0,7,0.313727405,318333,5078548
21,jon_sullivan,1,01,24,71,72,57,15,1011,50,60,0,10,0.055725773,1115,944997
